Type of Valuation,Subsector,2000 Q1,2000 Q2,2000 Q3,2000 Q4,2000 January to June,2000 January to September,2000 January to December,2001 Q1,2001 Q2,2001 Q3,2001 Q4,2001 January to June,2001 January to September,2001 January to December,2002 Q1,2002 Q2,2002 Q3,2002 Q4,2002 January to June,2002 January to September,2002 January to December,2003 Q1,2003 Q2,2003 Q3,2003 Q4,2003 January to June,2003 January to September,2003 January to December,2004 Q1,2004 Q2,2004 Q3,2004 Q4,2004 January to June,2004 January to September,2004 January to December,2005 Q1,2005 Q2,2005 Q3,2005 Q4,2005 January to June,2005 January to September,2005 January to December,2006 Q1,2006 Q2,2006 Q3,2006 Q4,2006 January to June,2006 January to September,2006 January to December,2007 Q1,2007 Q2,2007 Q3,2007 Q4,2007 January to June,2007 January to September,2007 January to December,2008 Q1,2008 Q2,2008 Q3,2008 Q4,2008 January to June,2008 January to September,2008 January to December,2009 Q1,2009 Q2,2009 Q3,2009 Q4,2009 January to June,2009 January to September,2009 January to December,2010 Q1,2010 Q2,2010 Q3,2010 Q4,2010 January to June,2010 January to September,2010 January to December,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2011 January to June,2011 January to September,2011 January to December,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2012 January to June,2012 January to September,2012 January to December,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2013 January to June,2013 January to September,2013 January to December,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2014 January to June,2014 January to September,2014 January to December,2015 Q1,2015 Q2,2015 Q3,2015 Q4,2015 January to June,2015 January to September,2015 January to December,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2016 January to June,2016 January to September,2016 January to December,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2017 January to June,2017 January to September,2017 January to December,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2018 January to June,2018 January to September,2018 January to December,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2019 January to June,2019 January to September,2019 January to December,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2020 January to June,2020 January to September,2020 January to December,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2021 January to June,2021 January to September,2021 January to December,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2022 January to June,2022 January to September,2022 January to December,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2023 January to June,2023 January to September,2023 January to December,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2024 January to June,2024 January to September,2024 January to December,2025 Q1,2025 Q2,2025 Q3,2025 Q4,2025 January to June,2025 January to September,2025 January to December,2026 Q1,2026 Q2,2026 Q3,2026 Q4,2026 January to June,2026 January to September,2026 January to December
Constant 2018 Prices,..Coffee,1927.66,722.45,866.77,2337.58,2650.12,3516.89,5854.47,2237.50,716.17,791.83,2380.46,2953.67,3745.50,6125.96,2083.72,698.63,694.85,2363.88,2782.35,3477.20,5841.09,2058.66,680.89,676.17,2385.23,2739.55,3415.72,5800.95,1996.44,636.91,607.95,2365.88,2633.34,3241.29,5607.17,1976.52,823.07,602.08,2382.34,2799.59,3401.67,5784.01,1970.74,777.08,572.96,2365.82,2747.82,3320.78,5686.61,1894.17,721.82,544.47,2188.77,2615.99,3160.46,5349.24,1907.81,701.90,541.04,2173.77,2609.71,3150.75,5324.52,1872.65,691.33,524.46,2180.12,2563.98,3088.44,5268.56,1840.35,663.91,500.99,2158.50,2504.26,3005.24,5163.74,1641.22,649.88,473.59,2067.46,2291.10,2764.69,4832.15,1787.99,600.77,467.90,2003.32,2388.76,2856.66,4859.99,1567.20,578.02,393.87,1762.39,2145.22,2539.08,4301.47,1498.13,563.29,358.37,1708.55,2061.42,2419.78,4128.33,1314.06,531.29,364.52,1736.90,1845.35,2209.87,3946.78,1284.79,457.62,329.23,1680.33,1742.42,2071.65,3751.98,1148.04,402.38,298.03,1533.65,1550.42,1848.46,3382.11,1047.89,385.59,300.35,1545.85,1433.48,1733.82,3279.67,976.05,361.22,299.29,1620.25,1337.27,1636.56,3256.81,979.38,349.87,297.29,1660.37,1329.25,1626.54,3286.91,1100.51,348.83,284.45,1561.25,1449.34,1733.79,3295.03,1057.69,323.89,273.01,1597.81,1381.59,1654.60,3252.41,1071.94,329.67,288.08,1571.38,1401.60,1689.69,3261.06,1342.25,323.52,290.34,1530.56,1665.77,1956.10,3486.67,1485.28,370.37,365.44,1665.21,1855.65,2221.09,3886.30,1479.21,.,.,.,.,.,.
Constant 2018 Prices,..Tobacco,1225.29,2323.78,139.55,161.50,3549.07,3688.62,3850.12,1127.98,2331.79,126.61,122.11,3459.77,3586.38,3708.50,1131.87,2471.32,124.95,122.46,3603.19,3728.14,3850.60,1128.09,2672.80,119.52,116.47,3800.88,3920.41,4036.88,1016.56,2462.21,86.57,98.10,3478.78,3565.35,3663.45,890.41,2350.93,80.85,93.89,3241.33,3322.18,3416.07,912.96,1862.69,61.41,74.46,2775.65,2837.06,2911.53,1075.69,1428.90,47.75,70.40,2504.59,2552.34,2622.74,736.60,1598.47,64.01,84.95,2335.07,2399.08,2484.03,761.36,1854.81,66.54,83.81,2616.17,2682.71,2766.52,835.55,2088.70,56.42,74.73,2924.25,2980.68,3055.41,847.86,2405.38,40.79,47.55,3253.24,3294.03,3341.58,860.29,2601.52,52.96,86.32,3461.81,3514.77,3601.10,894.84,2949.07,138.63,88.35,3843.91,3982.54,4070.89,934.38,3458.08,131.41,99.75,4392.46,4523.87,4623.63,962.79,3009.38,132.08,259.70,3972.17,4104.25,4363.94,982.45,2981.24,273.67,219.38,3963.69,4237.36,4456.75,1019.93,2559.17,277.46,217.74,3579.10,3856.56,4074.30,1034.45,2489.15,280.12,250.14,3523.60,3803.71,4053.85,1000.42,2596.08,315.90,128.96,3596.51,3912.40,4041.37,995.57,2682.18,221.00,269.91,3677.74,3898.74,4168.65,934.00,2626.06,228.13,278.99,3560.06,3788.19,4067.19,709.33,2593.78,232.47,302.79,3303.11,3535.57,3838.36,811.60,2641.99,516.21,986.60,3453.59,3969.79,4956.39,889.05,2588.12,542.69,1239.36,3477.17,4019.86,5259.22,1604.03,2810.37,627.79,1266.15,4414.40,5042.20,6308.35,2270.94,.,.,.,.,.,.
Constant 2018 Prices,..Abaca,1343.99,1469.30,1374.96,1160.17,2813.29,4188.25,5348.42,1302.52,1399.79,1253.68,1090.77,2702.31,3955.99,5046.75,1123.41,1105.39,1020.13,1131.20,2228.80,3248.94,4380.14,1128.20,1302.88,1307.03,1104.44,2431.08,3738.12,4842.56,1175.75,1221.71,1347.36,1446.60,2397.46,3744.81,5191.42,1403.69,1253.43,1188.52,1294.39,2657.11,3845.64,5140.03,1208.79,1246.30,1115.15,1282.83,2455.09,3570.24,4853.08,1116.76,1244.93,1089.37,1164.12,2361.69,3451.05,4615.17,1103.70,1327.65,1145.79,1172.09,2431.35,3577.14,4749.22,1136.32,1247.86,1113.84,1068.27,2384.19,3498.03,4566.30,1117.13,1281.39,1136.11,1079.80,2398.52,3534.63,4614.43,1113.70,1314.54,1225.56,1108.22,2428.24,3653.81,4762.02,1143.06,1348.84,1219.93,1036.44,2491.90,3711.84,4748.28,1050.91,1302.92,1173.18,974.63,2353.83,3527.01,4501.64,1026.37,1272.73,1206.29,1229.46,2299.10,3505.39,4734.85,1057.91,1299.99,1272.43,1265.35,2357.90,3630.33,4895.68,1085.32,1318.52,1292.39,1303.41,2403.84,3696.23,4999.64,1014.11,1265.61,1260.76,1251.74,2279.72,3540.49,4792.22,1039.98,1268.67,1340.25,1333.93,2308.65,3648.90,4982.82,1063.56,1269.46,1407.52,1287.40,2333.02,3740.54,5027.94,1004.20,1227.58,1410.12,1303.32,2231.78,3641.90,4945.22,856.84,1222.58,1112.96,1152.09,2079.42,3192.38,4344.47,976.88,1206.73,1352.46,1185.61,2183.61,3536.07,4721.68,1008.11,1184.55,1259.72,1220.00,2192.66,3452.38,4672.38,992.98,1037.14,1264.15,1219.47,2030.11,3294.27,4513.73,839.76,851.43,1114.84,1090.41,1691.19,2806.03,3896.43,845.37,.,.,.,.,.,.
Constant 2018 Prices,..Tomato,961.39,834.16,307.70,419.61,1795.55,2103.25,2522.86,997.49,798.45,293.02,383.73,1795.95,2088.97,2472.69,1039.85,811.19,288.26,380.44,1851.04,2139.30,2519.74,1033.54,842.76,279.18,379.81,1876.30,2155.47,2535.28,1081.37,968.39,521.74,419.19,2049.76,2571.49,2990.68,1043.46,1034.87,507.44,438.85,2078.33,2585.77,3024.62,957.62,1169.48,536.64,431.93,2127.10,2663.74,3095.67,1022.49,1277.31,586.62,447.75,2299.80,2886.42,3334.17,1056.01,1234.26,643.66,525.82,2290.27,2933.93,3459.75,1091.85,1246.98,670.35,506.54,2338.83,3009.18,3515.73,1168.89,1255.48,696.02,480.07,2424.37,3120.40,3600.46,1151.51,1290.07,679.79,469.66,2441.58,3121.37,3591.03,1163.74,1274.74,685.92,464.66,2438.48,3124.40,3589.06,1212.84,1303.03,649.95,475.99,2515.87,3165.81,3641.80,1255.56,1391.65,635.63,474.08,2647.21,3282.83,3756.91,1289.78,1368.82,627.87,462.70,2658.60,3286.47,3749.17,1257.52,1304.71,638.20,481.68,2562.24,3200.43,3682.12,1308.83,1381.02,655.57,478.05,2689.85,3345.42,3823.47,1315.00,1405.99,658.55,480.98,2720.99,3379.54,3860.52,1366.73,1376.42,672.35,478.18,2743.15,3415.51,3893.69,1351.24,1420.71,662.98,441.84,2771.95,3434.93,3876.77,1374.96,1462.86,673.39,427.55,2837.82,3511.21,3938.76,1290.72,1369.47,714.23,431.25,2660.20,3374.43,3805.68,1329.62,1345.37,733.32,442.53,2674.99,3408.31,3850.84,1335.70,1135.72,783.19,430.45,2471.42,3254.61,3685.06,1441.55,954.10,777.98,460.97,2395.65,3173.63,3634.60,1521.01,.,.,.,.,.,.
Constant 2018 Prices,..Potato,592.67,257.48,383.11,885.24,850.15,1233.26,2118.50,597.84,282.99,386.76,930.81,880.83,1267.59,2198.39,597.40,283.61,388.49,991.76,881.01,1269.50,2261.26,614.33,279.47,396.12,988.20,893.80,1289.91,2278.12,624.88,284.31,399.23,1020.19,909.20,1308.42,2328.62,626.17,288.33,402.39,1036.22,914.51,1316.90,2353.11,613.80,270.15,385.19,1080.53,883.95,1269.14,2349.66,638.18,298.27,410.40,3018.81,936.45,1346.85,4365.66,692.95,279.82,560.62,2890.83,972.77,1533.39,4424.22,709.93,276.32,557.54,2789.25,986.25,1543.79,4333.04,700.89,260.76,581.90,3027.11,961.65,1543.55,4570.66,736.46,270.25,589.87,2780.35,1006.71,1596.58,4376.93,761.49,275.65,562.57,2733.70,1037.14,1599.71,4333.41,775.27,279.02,560.83,2634.45,1054.29,1615.12,4249.57,759.34,295.46,565.48,2677.76,1054.80,1620.29,4298.05,755.09,313.43,554.42,2637.72,1068.52,1622.94,4260.66,743.61,312.53,552.98,2585.17,1056.14,1609.12,4194.29,757.03,310.16,534.03,2634.29,1067.19,1601.22,4235.51,767.26,311.32,511.84,2640.73,1078.58,1590.41,4231.14,765.59,299.85,464.78,2672.47,1065.44,1530.22,4202.69,746.69,283.90,499.87,2572.89,1030.59,1530.46,4103.35,549.49,354.39,435.05,2348.27,903.88,1338.93,3687.20,613.75,342.79,430.83,2474.93,956.54,1387.37,3862.30,586.82,349.92,319.30,2343.08,936.74,1256.04,3599.13,582.69,346.47,436.00,2307.25,929.16,1365.17,3672.42,605.87,327.48,644.53,2235.58,933.34,1577.88,3813.46,680.81,.,.,.,.,.,.
Constant 2018 Prices,..Ampalaya,313.02,551.44,434.44,366.94,864.46,1298.90,1665.84,337.29,572.07,464.99,397.36,909.36,1374.35,1771.71,365.37,580.56,471.63,420.14,945.93,1417.55,1837.69,618.64,834.95,703.50,645.03,1453.59,2157.09,2802.12,690.36,883.49,757.70,640.78,1573.85,2331.55,2972.33,659.13,894.09,784.23,677.35,1553.23,2337.45,3014.81,611.04,874.20,751.66,701.33,1485.25,2236.91,2938.24,638.73,952.60,811.50,731.52,1591.33,2402.83,3134.35,651.50,977.92,820.18,767.10,1629.42,2449.60,3216.71,666.93,975.74,872.49,751.25,1642.67,2515.15,3266.40,713.53,941.89,974.31,729.58,1655.42,2629.73,3359.31,700.88,952.86,955.11,677.78,1653.74,2608.85,3286.63,704.03,971.75,931.40,692.65,1675.78,2607.18,3299.83,731.60,981.67,970.68,725.74,1713.27,2683.96,3409.70,713.28,1018.73,937.01,738.96,1732.02,2669.02,3407.99,716.92,1013.62,926.36,706.43,1730.54,2656.89,3363.32,724.83,960.67,933.91,697.31,1685.51,2619.42,3316.73,720.77,1015.75,954.44,696.30,1736.51,2690.95,3387.25,708.51,988.78,913.52,696.45,1697.29,2610.81,3307.26,739.38,1019.69,877.66,736.89,1759.07,2636.73,3373.62,736.36,1025.16,870.41,683.14,1761.52,2631.93,3315.06,751.30,1052.84,837.18,682.79,1804.14,2641.32,3324.11,757.54,1071.42,860.12,653.69,1828.96,2689.08,3342.78,763.75,1105.61,795.95,679.56,1869.35,2665.30,3344.87,733.16,1048.85,750.99,669.78,1782.01,2532.99,3202.78,796.99,1053.13,712.91,629.05,1850.12,2563.03,3192.08,948.93,.,.,.,.,.,.
Constant 2018 Prices,..Cabbage,408.23,398.59,656.74,743.41,806.82,1463.56,2206.98,409.64,392.27,686.23,777.95,801.91,1488.14,2266.09,439.94,379.44,669.79,807.87,819.38,1489.18,2297.05,453.07,362.79,665.40,827.27,815.85,1481.25,2308.52,464.93,380.45,647.20,823.00,845.38,1492.57,2315.58,447.96,384.03,647.00,808.32,831.98,1478.99,2287.31,452.81,376.18,615.00,825.97,828.99,1443.99,2269.96,483.40,405.96,666.19,1500.27,889.36,1555.55,3055.82,523.88,425.32,688.54,1544.14,949.20,1637.73,3181.88,527.21,433.27,714.23,1414.70,960.48,1674.71,3089.41,546.00,432.22,752.92,1470.71,978.22,1731.14,3201.85,566.94,464.90,737.33,1328.75,1031.84,1769.17,3097.92,590.19,472.46,708.94,1334.05,1062.65,1771.59,3105.65,609.53,482.19,707.86,1325.31,1091.73,1799.59,3124.90,602.77,506.49,724.13,1309.36,1109.26,1833.40,3142.76,617.59,512.13,674.75,1260.69,1129.72,1804.47,3065.17,611.25,483.55,703.31,1218.47,1094.80,1798.10,3016.57,603.84,500.91,667.89,1215.81,1104.75,1772.64,2988.44,582.09,486.89,617.39,1246.57,1068.98,1686.36,2932.93,585.10,486.66,619.40,1420.47,1071.76,1691.15,3111.62,611.54,483.57,588.38,1451.71,1095.11,1683.49,3135.21,552.61,546.69,481.82,1394.02,1099.30,1581.12,2975.13,512.13,528.62,487.46,1384.07,1040.75,1528.21,2912.28,538.69,504.58,404.54,1598.60,1043.27,1447.81,3046.41,582.92,518.32,583.39,1581.83,1101.23,1684.62,3266.45,545.44,578.78,660.88,1634.52,1124.22,1785.10,3419.62,561.58,.,.,.,.,.,.
Constant 2018 Prices,..Calamansi,679.50,523.48,1497.08,1121.80,1202.98,2700.06,3821.86,696.97,523.46,1487.30,1143.61,1220.42,2707.72,3851.33,712.07,530.04,1470.86,1132.66,1242.12,2712.97,3845.63,717.58,540.75,1512.12,1059.99,1258.33,2770.46,3830.45,724.85,564.38,1551.85,934.91,1289.23,2841.07,3775.98,696.87,632.52,1736.53,1139.05,1329.39,3065.92,4204.98,688.83,634.36,1658.40,1155.40,1323.19,2981.60,4137.00,688.34,662.26,1725.13,1153.81,1350.60,3075.74,4229.55,691.99,675.78,1697.96,1132.58,1367.78,3065.74,4198.32,664.91,641.79,1673.32,1044.01,1306.70,2980.01,4024.03,668.63,621.17,1616.77,1049.75,1289.81,2906.58,3956.33,658.75,619.50,1581.19,974.82,1278.26,2859.45,3834.27,621.59,603.97,1556.50,957.69,1225.55,2782.06,3739.75,607.60,587.76,1514.67,707.80,1195.36,2710.03,3417.83,554.81,585.82,1557.91,610.27,1140.63,2698.53,3308.80,539.00,536.73,1610.54,635.62,1075.73,2686.27,3321.89,498.72,487.14,923.30,645.24,985.86,1909.16,2554.40,476.57,499.25,901.47,644.74,975.82,1877.29,2522.04,472.40,484.39,882.81,615.17,956.80,1839.61,2454.78,475.29,474.70,1100.29,603.65,949.99,2050.27,2653.92,423.25,382.35,914.26,584.07,805.60,1719.87,2303.93,416.64,352.51,990.54,587.53,769.15,1759.69,2347.21,410.27,360.75,929.52,572.80,771.03,1700.54,2273.35,406.51,375.26,846.39,548.36,781.76,1628.15,2176.51,431.97,399.36,949.03,544.66,831.33,1780.36,2325.02,428.40,421.81,901.27,539.43,850.21,1751.47,2290.91,441.40,.,.,.,.,.,.
Constant 2018 Prices,..Mongo,452.85,744.39,80.24,256.53,1197.24,1277.48,1534.01,449.76,774.68,79.68,246.06,1224.44,1304.12,1550.18,463.13,737.31,83.11,244.25,1200.44,1283.55,1527.81,443.61,703.59,80.23,224.11,1147.20,1227.44,1451.55,457.47,748.73,58.87,216.10,1206.20,1265.07,1481.17,446.22,766.35,64.38,218.58,1212.57,1276.96,1495.54,433.60,738.63,65.07,213.51,1172.23,1237.30,1450.81,510.34,851.68,63.29,201.58,1362.03,1425.32,1626.89,491.33,891.46,68.86,204.49,1382.80,1451.66,1656.15,468.18,837.52,62.88,180.53,1305.70,1368.58,1549.11,423.28,844.10,65.02,179.30,1267.38,1332.40,1511.70,398.08,1204.08,61.81,174.85,1602.16,1663.97,1838.83,389.22,1184.10,59.25,173.16,1573.33,1632.58,1805.74,398.54,1183.24,59.83,167.57,1581.78,1641.61,1809.18,408.98,1150.34,65.60,168.70,1559.32,1624.91,1793.62,421.42,1214.45,66.92,173.25,1635.88,1702.80,1876.04,424.31,1228.78,72.95,172.64,1653.09,1726.04,1898.68,425.44,1298.62,75.92,170.73,1724.06,1799.98,1970.71,458.13,1342.10,72.16,173.39,1800.23,1872.39,2045.78,469.94,1307.83,72.57,172.80,1777.77,1850.33,2023.13,498.34,1321.14,74.77,173.51,1819.48,1894.24,2067.75,529.43,1208.65,69.06,176.09,1738.08,1807.14,1983.23,529.65,1286.40,69.55,173.48,1816.05,1885.60,2059.07,520.94,1262.26,54.88,176.84,1783.21,1838.09,2014.94,487.54,1086.18,56.73,91.55,1573.72,1630.45,1722.00,536.82,937.98,66.34,100.87,1474.80,1541.14,1642.01,740.27,.,.,.,.,.,.
Constant 2018 Prices,..Cacao,137.40,133.52,125.77,145.43,270.91,396.68,542.11,136.96,130.13,125.44,141.59,267.09,392.52,534.12,133.88,113.47,102.96,124.00,247.35,350.31,474.31,119.17,111.23,109.67,125.53,230.41,340.08,465.60,118.51,112.49,112.47,118.50,230.99,343.47,461.97,110.47,113.14,115.85,125.19,223.61,339.46,464.65,115.24,112.76,112.54,102.30,227.99,340.53,442.83,110.99,110.24,106.36,100.75,221.23,327.59,428.34,108.98,105.94,105.79,100.40,214.92,320.71,421.11,109.72,104.95,105.65,99.53,214.67,320.32,419.85,106.92,98.82,104.66,100.09,205.74,310.40,410.50,103.38,96.14,97.08,100.57,199.52,296.60,397.17,92.66,99.10,102.40,101.20,191.75,294.15,395.35,91.61,100.03,102.12,105.27,191.65,293.76,399.03,97.27,111.69,115.05,120.29,208.96,324.01,444.29,105.44,116.81,135.41,135.45,222.25,357.65,493.10,103.69,118.51,137.74,152.88,222.20,359.94,512.82,110.04,138.31,151.59,174.12,248.36,399.95,574.07,132.80,151.27,167.63,201.97,284.07,451.70,653.67,138.62,157.89,186.65,211.95,296.51,483.17,695.11,161.82,166.71,209.07,227.08,328.53,537.60,764.68,180.93,183.25,201.46,252.84,364.18,565.63,818.47,191.75,185.76,217.97,259.43,377.51,595.48,854.91,189.05,193.37,242.66,268.37,382.42,625.08,893.44,194.13,204.92,233.94,254.60,399.05,632.98,887.58,239.88,228.30,233.17,269.50,468.18,701.35,970.85,267.92,.,.,.,.,.,.
Constant 2018 Prices,..Other Crops,8306.81,8555.26,12734.54,12971.29,16862.07,29596.61,42567.90,8852.32,12820.66,11847.45,11049.59,21672.98,33520.44,44570.03,12808.72,12948.30,11789.78,13094.84,25757.02,37546.79,50641.63,13513.76,12530.05,11603.03,13304.16,26043.80,37646.83,50951.00,13932.74,12542.24,11520.12,13158.08,26474.97,37995.09,51153.17,14091.88,12369.65,11277.06,13782.17,26461.53,37738.59,51520.75,13988.08,12532.78,11215.57,13747.02,26520.85,37736.42,51483.44,14070.89,12979.12,11629.81,14672.14,27050.01,38679.82,53351.97,13850.38,13048.95,11233.74,14632.85,26899.33,38133.07,52765.92,13897.95,13060.09,11493.64,14417.59,26958.04,38451.68,52869.27,14636.17,13065.18,12871.10,14078.54,27701.35,40572.45,54650.99,14262.39,12940.35,11780.37,12993.41,27202.74,38983.11,51976.52,14680.98,13037.02,11885.95,13407.21,27718.00,39603.95,53011.16,15363.42,13289.97,11786.79,12601.51,28653.39,40440.18,53041.70,14531.52,13868.85,11026.07,12535.34,28400.37,39426.45,51961.79,14624.10,13988.02,11396.66,12636.33,28612.12,40008.78,52645.10,14202.73,13539.98,11222.61,12828.01,27742.71,38965.32,51793.34,14209.08,14097.24,11211.95,12619.87,28306.32,39518.28,52138.15,14168.04,14297.72,11460.31,12845.31,28465.76,39926.08,52771.38,13982.75,14207.20,11615.12,13059.34,28189.95,39805.07,52864.41,13874.32,14260.45,11661.19,12767.45,28134.77,39795.96,52563.40,13768.10,14709.41,11699.18,12844.53,28477.51,40176.69,53021.21,13912.34,12817.10,11843.07,12740.81,26729.44,38572.51,51313.32,13985.52,13215.19,11190.08,12527.93,27200.72,38390.79,50918.73,13232.56,12498.32,11818.60,11850.74,25730.88,37549.48,49400.22,13579.59,12987.03,11129.97,11869.87,26566.62,37696.60,49566.46,14809.22,.,.,.,.,.,.
Constant 2018 Prices,LIVESTOCK,54525.02,56324.37,57028.00,65863.73,110849.38,167877.39,233741.12,55751.14,58143.20,58641.23,68141.53,113894.34,172535.57,240677.10,57826.10,60748.71,61248.19,71536.07,118574.81,179823.00,251359.07,59970.09,62251.65,63141.55,73396.74,122221.74,185363.29,258760.03,62016.04,62715.23,60648.57,70897.10,124731.28,185379.85,256276.95,62299.88,63869.93,62867.79,73589.83,126169.81,189037.60,262627.43,63705.14,65979.23,64160.67,75008.26,129684.36,193845.04,268853.29,65223.97,67809.15,65105.15,77429.07,133033.12,198138.27,275567.34,63031.17,65742.14,65461.69,78526.08,128773.31,194235.01,272761.09,64401.62,67325.00,66261.19,77984.18,131726.62,197987.81,275971.99,64840.78,69657.13,65920.49,79664.27,134497.90,200418.40,280082.67,65130.85,70485.23,67718.03,82257.18,135616.07,203334.10,285591.28,67132.26,68981.15,68724.08,83711.54,136113.41,204837.49,288549.03,67346.32,71622.26,69626.76,84984.13,138968.57,208595.33,293579.46,68156.84,72090.52,70614.96,85693.06,140247.35,210862.32,296555.38,70340.44,75796.56,72829.14,88866.41,146137.00,218966.14,307832.55,73474.97,80720.16,75761.30,91873.19,154195.12,229956.42,321829.61,75820.77,79604.16,76314.04,93579.80,155424.93,231738.97,325318.77,77295.74,81036.54,77949.92,95137.56,158332.28,236282.19,331419.75,78207.63,83588.16,79227.95,87083.31,161795.79,241023.74,328107.05,78081.65,76485.57,73228.70,75880.34,154567.21,227795.92,303676.26,59786.37,61743.48,62047.11,68531.35,121529.85,183576.96,252108.31,59217.10,63062.42,64514.44,70221.24,122279.52,186793.96,257015.20,61672.67,63544.74,66174.43,72155.34,125217.42,191391.84,263547.18,59577.44,63401.72,61731.94,67787.82,122979.16,184711.11,252498.93,57811.11,59659.94,60517.66,68536.34,117471.05,177988.71,246525.05,60735.63,.,.,.,.,.,.
Constant 2018 Prices,..Hog,42479.83,43072.98,43169.87,52869.97,85552.81,128722.68,181592.65,44120.43,45402.07,45129.66,54917.97,89522.50,134652.15,189570.13,46164.83,47642.56,47791.87,57939.29,93807.39,141599.25,199538.55,48317.02,49330.82,49982.65,59716.56,97647.83,147630.48,207347.04,50229.96,49463.47,47934.88,56812.74,99693.44,147628.31,204441.05,50754.94,50796.81,50647.62,59681.75,101551.75,152199.36,211881.12,52472.37,53302.68,52409.32,61466.93,105775.06,158184.38,219651.31,53849.18,55171.74,53205.32,63395.02,109020.92,162226.24,225621.26,51590.01,52704.75,53514.14,64212.46,104294.77,157808.90,222021.36,52894.51,54197.47,54209.16,63302.08,107091.98,161301.14,224603.22,53080.11,55757.10,53918.48,64351.09,108837.21,162755.69,227106.78,53419.11,56559.46,55462.93,66732.76,109978.57,165441.49,232174.25,55243.84,55847.49,56518.72,68497.77,111091.33,167610.06,236107.82,55441.70,58318.37,57509.41,69492.86,113760.08,171269.49,240762.35,56136.88,58777.78,58413.99,69841.33,114914.65,173328.65,243169.98,58255.25,62071.21,60609.24,72782.09,120326.46,180935.70,253717.79,61439.48,66670.33,63363.31,75577.17,128109.81,191473.13,267050.30,63590.36,65790.35,63940.82,77654.95,129380.70,193321.52,270976.48,65111.72,67636.10,65568.63,79215.36,132747.82,198316.45,277531.81,66124.82,70408.04,66851.12,71418.92,136532.86,203383.98,274802.91,66270.98,66755.52,61675.04,61563.21,133026.50,194701.54,256264.75,49154.26,49284.17,50666.95,53813.63,98438.43,149105.38,202919.01,48563.19,50781.56,52921.64,55618.48,99344.74,152266.38,207884.86,51042.07,51305.31,54645.39,57650.55,102347.38,156992.77,214643.32,48871.74,51225.87,50247.34,53517.91,100097.60,150344.94,203862.85,46986.61,47393.45,49560.05,54464.54,94380.06,143940.11,198404.66,49985.17,.,.,.,.,.,.
Constant 2018 Prices,..Cattle,7105.55,7001.40,7821.76,7600.43,14106.96,21928.71,29529.14,6722.36,6570.08,7567.05,7551.79,13292.44,20859.49,28411.28,6637.83,6673.07,7457.42,7630.75,13310.90,20768.31,28399.06,6614.18,6665.32,7207.11,7628.08,13279.50,20486.61,28114.69,6531.03,6727.95,6721.47,7864.62,13258.98,19980.45,27845.07,6203.09,6563.30,6434.95,7641.74,12766.39,19201.34,26843.08,5996.92,6436.85,6100.33,7384.55,12433.76,18534.09,25918.64,5979.52,6287.05,6076.34,7425.75,12266.57,18342.90,25768.65,5916.52,6439.11,6081.51,7583.33,12355.63,18437.14,26020.47,5935.82,6652.51,6193.56,7889.94,12588.34,18781.90,26671.84,6142.00,6987.52,6119.48,8140.80,13129.53,19249.01,27389.81,6124.93,7058.33,6335.89,8368.68,13183.26,19519.15,27887.83,6252.94,6874.63,6393.34,8113.60,13127.57,19520.92,27634.51,6352.74,7075.12,6413.60,8278.28,13427.86,19841.46,28119.75,6395.80,7105.04,6465.33,8468.29,13500.84,19966.17,28434.47,6445.65,7478.68,6479.53,8635.65,13924.33,20403.86,29039.51,6479.06,7563.27,6589.49,8793.12,14042.33,20631.82,29424.94,6573.77,7407.98,6528.84,8458.52,13981.75,20510.59,28969.11,6496.67,7152.17,6536.00,8463.85,13648.84,20184.84,28648.69,6501.97,7016.36,6523.78,8312.48,13518.32,20042.10,28354.58,6429.18,4949.85,5873.66,7679.28,11379.03,17252.69,24931.97,5646.62,6563.37,5720.63,7763.05,12209.99,17930.62,25693.66,5609.69,6622.45,5791.22,7729.80,12232.14,18023.36,25753.17,5715.06,6558.65,5704.32,7524.99,12273.71,17978.03,25503.02,5733.35,6573.06,5755.06,7319.62,12306.41,18061.47,25381.09,5810.50,6703.16,5599.47,7217.16,12513.66,18113.13,25330.29,5908.37,.,.,.,.,.,.
